0:0:0:0:0:0:0:1 - - [23/Feb/2017:09:30:38 -0500] "GET /DynamicWorks/resources HTTP/1.1" 404 1038
127.0.0.1 - - [23/Feb/2017:09:34:48 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 109
127.0.0.1 - - [23/Feb/2017:09:34:49 -0500] "DELETE /DymamicWorks/resources/message/102 HTTP/1.1" 200 42
127.0.0.1 - - [23/Feb/2017:09:34:49 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 77
127.0.0.1 - - [23/Feb/2017:09:34:49 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 266
127.0.0.1 - - [23/Feb/2017:09:34:49 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:34:50 -0500] "GET /DymamicWorks/resources/message/114 HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:40:25 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 109
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "DELETE /DymamicWorks/resources/message/102 HTTP/1.1" 200 42
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 106
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 77
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 263
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:40:26 -0500] "GET /DymamicWorks/resources/message/114 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [23/Feb/2017:09:44:07 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 263
127.0.0.1 - - [23/Feb/2017:09:45:27 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 101
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "DELETE /DymamicWorks/resources/message/102 HTTP/1.1" 200 42
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 106
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 92
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 102
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 381
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:45:28 -0500] "GET /DymamicWorks/resources/message/114 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [23/Feb/2017:09:45:30 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 381
